날짜,행사및휴일,,"※특정 날짜에 요일변경 수업이 있는 경우, 작성예시",
2026.09.22.1교시,금1,,2026.09.22.1교시,금1
2026.09.22.2교시,금2,,2026.09.22.2교시,금2
2026.09.22.3교시,금3,,2026.09.22.3교시,금3
2026.09.22.4교시,금4,,2026.09.22.4교시,금4
2026.09.22.5교시,금5,,2026.09.22.5교시,금5
2026.09.22.6교시,금6,,2026.09.22.6교시,금6
2026.09.23.6교시,,,,
2026.09.24.,추석연휴,,,
2026.09.25.,추석,,,
2026.09.30.,1차정기시험,,,
2026.10.01.,1차정기시험,,,
2026.10.02.,1차정기시험,,,
2026.10.05.,대체공휴일,,,
2026.10.06.,1차정기시험,,,
2026.09.23.6교시,,,,
2026.10.09.,한글날,,,
2026.10.19.1교시,금1,,,
2026.10.19.2교시,금2,,,
2026.10.19.3교시,금3,,,
2026.10.19.4교시,금4,,,
2026.10.19.5교시,금5,,,
2026.10.19.6교시,금6,,,
2026.10.20.,전국연합,,,
2026.10.21.6교시,,,,
2026.10.23.,앨범촬영,,,
2026.11.03.1교시,금1,,,
2026.11.03.2교시,금2,,,
2026.11.03.3교시,금3,,,
2026.11.03.4교시,금4,,,
2026.11.03.5교시,금5,,,
2026.11.03.6교시,금6,,,
2026.11.03.7교시,화1,,,
2026.11.04.6교시,,,,
2026.11.13.6교시,봉사,,,
2026.11.16.6교시,봉사,,,
2026.11.18.1교시,자율,,,
2026.11.18.2교시,봉사,,,
2026.11.18.3교시,,,,
2026.11.18.4교시,,,,
2026.11.18.5교시,,,,
2026.11.18.6교시,,,,
2026.11.19.,수능,,,
2026.11.20.,재량휴업일,,,
2026.11.23.1교시,자율,,,
2026.11.25.6교시,,,,
2026.12.09.6교시,,,,
2026.12.10.1교시,금4,,,
2026.12.10.2교시,금5,,,
2026.12.10.3교시,금6,,,
2026.12.10.4교시,,,,
2026.12.10.5교시,,,,
2026.12.10.6교시,,,,
2026.12.10.7교시,,,,
2026.12.11.1교시,금4,,,
2026.12.11.2교시,금5,,,
2026.12.11.3교시,금6,,,
2026.12.11.4교시,,,,
2026.12.11.5교시,,,,
2026.12.11.6교시,,,,
2026.12.14.4교시,,,,
2026.12.14.5교시,,,,
2026.12.14.6교시,,,,
2026.12.15.4교시,,,,
2026.12.15.5교시,,,,
2026.12.15.6교시,,,,
2026.12.15.7교시,,,,
2026.12.16.1교시,화7,,,
2026.12.16.4교시,,,,
2026.12.16.5교시,,,,
2026.12.16.6교시,,,,
2026.12.23.6교시,,,,
2026.12.24.1교시,목5,,,
2026.12.24.2교시,목6,,,
2026.12.24.3교시,목7,,,
2026.12.24.4교시,화6,,,
2026.12.24.5교시,화7,,,
2026.12.24.6교시,,,,
2026.12.24.7교시,,,,
2026.12.25.,성탄절,,,
2026.12.29.,가온제,,,
2026.12.30.6교시,,,,
2026.12.31.5교시,봉사,,,
2026.12.31.6교시,,,,
2026.12.31.7교시,,,,
2027.01.01.,신정,,,
2027.01.04.5교시,봉사,,,
2027.01.04.6교시,,,,
2027.01.05.6교시,,,,
2027.01.05.7교시,,,,
2027.01.06.1교시,목1,,,
2027.01.06.2교시,금6,,,
2027.01.06.3교시,자율,,,
2027.01.06.4교시,,,,
2027.01.06.5교시,,,,
2027.01.06.6교시,,,,
